Use categories,sub-use,applications,substance name,cas,elemental composition,primary source,secondary source
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,alpelisib,1217486-61-7,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,apalutamide,956104-40-8,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Alimentary tract and metabolism,aprepitant,170729-80-3,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Cardiovascular system,bendroflumethiazide,73-48-3,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Alimentary tract and metabolism,benfluorex,23602-78-0,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Blood and blood forming organs,cangrelor,163706-06-7,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,bicalutamide,90357-06-5,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Cardiovascular system,celecoxib,169590-42-5,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,celecoxib,169590-42-5,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Musculo-skeletal system,celecoxib,169590-42-5,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Systemic Hormonal Preparations (excluding sex hormones and insulins),cinacalcet,226256-56-0,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Nervous system,desflurane,57041-67-5,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Alimentary tract and metabolism,dexfenfluramine,3239-44-9,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antiinfectives for systemic use,doravirine,1338225-97-0,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Genito Urinary System and Sex hormones,dutasteride,164656-23-9,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antiinfectives for systemic use,efavirenz,154598-52-4,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Respiratory system,elexacaftor,2216712-66-0,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Antineoplastic and immunomodulating agents,enzalutamide,915087-33-1,,ECHA (2023a),WHO (2023)
Active pharmaceutical ingredients,Human health application,Alimentary tract and metabolism,fenfluramine,458-24-2,,ECHA (2023a),WHO (2023)
